iteration: 1, AUC: 0.9713625907897949
iteration: 3, AUC: 0.9700870513916016
iteration: 5, AUC: 0.9693131446838379
iteration: 7, AUC: 0.9675779342651367
iteration: 9, AUC: 0.9643306732177734
iteration: 11, AUC: 0.959691047668457
iteration: 13, AUC: 0.9540338516235352
iteration: 15, AUC: 0.9474835395812988
iteration: 17, AUC: 0.9396376609802246
iteration: 19, AUC: 0.9310035705566406
iteration: 21, AUC: 0.9220647811889648
iteration: 23, AUC: 0.9134149551391602
